state,population_2019
Iowa,3155070
Ohio,11689100
Utah,3205958
Idaho,1787065
Maine,1344212
Texas,28995881
Alaska,731545
Hawaii,1415872
Kansas,2913314
Nevada,3080156
Oregon,4217737
Alabama,4903185
Arizona,7278717
Florida,21477737
Georgia,10617423
Indiana,6732219
Montana,1068778
Vermont,623989
Wyoming,578759
Arkansas,3017804
Colorado,5758736
Delaware,973764
Illinois,12671821
Kentucky,4467673
Maryland,6045680
Michigan,9986857
Missouri,6137428
Nebraska,1934408
New York,19453561
Oklahoma,3956971
Virginia,8535519
Louisiana,4648794
Minnesota,5639632
Tennessee,6829174
Wisconsin,5822434
California,39512223
New Jersey,8882190
New Mexico,2096829
Washington,7614893
Connecticut,3565287
Mississippi,2976149
North Dakota,762062
Pennsylvania,12801989
Rhode Island,1059361
South Dakota,884659
Massachusetts,6892503
New Hampshire,1359711
West Virginia,1792147
North Carolina,10488084
South Carolina,5148714
District of Columbia,705749
District of Columbia,705749
